tweet_id,airline,name,text,tweet_coord,tweet_created,tweet_location
741810840509284352,American,andie2328,"RT @Megannn_M7: Just like everyone says, @AmericanAir is truly a disaster.",,2016-06-12 01:54:21,
853199943556898816,United,terryt61,#unitedairlines \n https://t.co/iChKQc5W0y,"-89.5694915,44.900818",2017-04-15 10:54:52,"Wisconsin, USA"
759175917235216384,Southwest,setophaga,Cut it close for our @SouthwestAir @MitchellAirport to @BWI_Airport flight - rarely said but lucky it was delayed! :P @paul_schilke,,2016-07-29 23:56:58,
928659903371186181,Delta,ffmichelle,Holy cripes! This might actually be an ontime @Delta departure from AVL! I might implode if I have a good travel day!,,2017-11-09 16:25:49,
913421826423889920,Southwest,katiegreenzz,sounds to me like the @SouthwestAir passenger that got escorted off the plane brought it upon herself lol,,2017-09-28 15:15:08,
906266772902473728,Delta,maniacmiler,RT @MCO: The Queen has arrived! The @delta 747 is here to help more passengers depart before #Irma arrives. \U0001f451 #DL2517 https://t.co/nC2SYj4V\u2026,,2017-09-08 21:23:30,
495291289081245697,United,TonyKnowsPower,@united yes its waiting on the incoming airbus to get fixed. My first flight was cancelled as well for the same reason.,,2014-08-01 19:33:40,
409782305574498304,United,TonyKnowsPower,"@united upgrade on my flight to LAS, happy","-95.3384617,29.9850375",2013-12-08 20:31:29,"Houston, TX"
322788260923449344,United,TonyKnowsPower,"@scott_lowe No much prefer SJC to SFO. Less traffic , fewer delays, just wish @united would put the 6pm IAH to SJC flight back on.",,2013-04-12 19:08:13,
58976425839050754,United,TonyKnowsPower,RT @JamesAtCisco: @Continental Stop pretending to be separate from @united yet continue to shed continental flights to places like SJC.&lt;+1,,2011-04-15 19:34:10,
710170080856940544,Southwest,MarissDiBernard,I am so obsessed with @SouthwestAir and I want the world to know it,,2016-03-16 18:25:16,
851917628440326146,United,ElvisS_84,"Will never fly @united ever again, I'm sure there's honest workers but their companies actions where unacceptable #\u2026 https://t.co/yg3F8uzlbT","-117.94764155000001,33.71010495",2017-04-11 21:59:25,"Fountain Valley, CA"
886017423857471488,United,DJEARTHQUAKE,RT @ScHoolboyQ: You guys r idiots @united HOW U PUT MY DOG ON THE WRONG FLIGHT???? I need answers,,2017-07-15 00:19:49,
809057536469061632,Virgin America,DESTINYDIXON,I \u2764\ufe0f @VirginAmerica  please add more flights out of FLL \U0001f917\u2708\ufe0f\U0001f917\u2728 https://t.co/rYWFqNwPtC,,2016-12-14 15:28:42,
851194052485799936,JetBlue,lmisitzis,"the aisle to my window on this @JetBlue plane just surprised me w/ wine, resulting in our middle asking a crew member if he can change seats",,2017-04-09 22:04:11,
619861022418018305,American,DESTINYDIXON,@AmericanAir it's not even b/c of lines ! No one is informing those who just come up and take advantage because no one regulates it.,,2015-07-11 13:29:18,
880241276188106752,JetBlue,MegWeldon,Spent 99% of my flight staring at the rainbow loading circle of death because Southwest's wifi is the WORST #JetBlueforlife,,2017-06-29 01:47:28,
805474020909023233,JetBlue,MegWeldon,RT @Adweek: .@JetBlue made an edible ad to promote its all-you-can-eat snacks: https://t.co/XJwGrksD9y https://t.co/BNXDnx5ZyM,,2016-12-04 18:09:06,
770936968603664386,JetBlue,MegWeldon,RT @wsvn: .@JetBlue will soon make the first commercial flight between the United States and #Cuba since 1961. https://t.co/GrRCjwFJu2,,2016-08-31 10:51:11,
888056613533253632,Southwest,THENEXTTOPTM,Thanks to @SouthwestAir for getting me safe to @BWI_Airport from @DallasLoveField #dayoneoftour,"-76.70463135,39.154153",2017-07-20 15:22:50,"Severn, MD"
374100541779226624,American,THENEXTTOPTM,@AmericanAir Milwaukee,,2013-09-01 09:24:54,
797112899735027712,Delta,_TheMcAttack,RT @iamreddog_: Blessed to receive offer from #Delta https://t.co/uhqqxT6nJs,,2016-11-11 16:24:59,
814294689431973889,Delta,GingerRepublic,RT @Nwz_xXx: Was @Delta kicking out @Adamsaleh Racist or necessary (I Think It was necessary) #2016in4words #LyricsThatMade2016 #GoLive #ad\u2026,,2016-12-29 02:19:17,
910261211928961026,Southwest,Nolan_Kinney,@ajayi1987 @nekay2 @AlaskaAir @KDTrey5 @FlyFrontier @SouthwestAir Or @Delta,,2017-09-19 21:55:59,
851492042224140290,United,_ParticleGirl,RT @markwby: cool new #United flight attendant uniforms https://t.co/lTUD9r1PfL,,2017-04-10 17:48:17,
882030716120436736,United,emmykegler,".@united refused to do Fianc\xe9e's bag as a carryon, though it fits perfectly fine and we were in group 3.",,2017-07-04 00:18:04,
925508104468484096,Delta,AsieduEdmund,RT @GreggBeratan: Its time @Delta &amp; other airlines learned that #WheelchairsAreNOTLuggage! and showed more respect for these devices that a\u2026,,2017-10-31 23:41:41,
851475201699307520,United,paulkite,RT @JimSterling: Oh so @united are cowards on top of everything else. Fucking pitiful. https://t.co/NkOQar4io8,,2017-04-10 16:41:22,
501970466375229440,JetBlue,IanFSugar,Survived @JetBlue flight 324 with @JoshBlockDC . Thx to superreporter @RosieGray and supermodel @CrisUrena for the moral support!,,2014-08-20 05:54:20,
501877516617789440,JetBlue,IanFSugar,"RT @RosieGray: just give @JoshBlockDC some food already, @JetBlue, damn",,2014-08-19 23:44:59,
